,listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy,experience,view,décor_and_amenities,neighborhood_and_access,host,weather_and_amenties,food,overall_avg
96,1118645,f,West Tamar,Bed and breakfast,Entire home/apt,4,1.0,2,4,Real Bed,$200.00 ,0.00%,0.00%,2,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
97,1139122,t,Central Coast,House,Entire home/apt,12,2.0,5,12,Real Bed,$140.00 ,0.00%,0.00%,1,flexible,1.0,1.0,0.9649122807017544,1.0,0.9583333333333334,0.6363636363636364,1.0,1.0
98,1160182,f,Break O'Day,House,Entire home/apt,10,5.0,4,10,Real Bed,$690.00 ,217.39%,0.00%,2,strict_14_with_grace_period,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,-0.3333333333333333,1.0
99,1229914,t,Sorell,House,Entire home/apt,5,1.0,2,3,Real Bed,$96.00 ,0.00%,15.63%,1,strict_14_with_grace_period,1.0,0.9636363636363636,1.0,1.0,0.9411764705882353,0.8461538461538461,1.0,0.979381443298969
100,1261574,f,Kingborough,Cottage,Entire home/apt,4,1.0,2,2,Real Bed,$240.00 ,83.33%,41.67%,2,strict_14_with_grace_period,1.0,0.7777777777777778,1.0,1.0,-1.0,0.3333333333333333,1.0,1.0
101,1285967,f,Clarence,Farm stay,Entire home/apt,6,1.0,2,5,Real Bed,$105.00 ,0.00%,0.00%,1,strict_14_with_grace_period,0.9259259259259259,0.988950276243094,0.9611650485436893,0.9090909090909091,0.9555555555555556,0.725,0.96,0.9795918367346939
102,1298395,f,Hobart,House,Entire home/apt,5,1.0,2,4,Real Bed,$251.00 ,79.68%,19.92%,3,moderate,1.0,0.96875,1.0,0.9733333333333334,0.9285714285714286,1.0,1.0,1.0
103,1365222,f,Hobart,Guesthouse,Entire home/apt,2,1.0,1,1,Real Bed,$90.00 ,222.22%,0.00%,3,strict_14_with_grace_period,1.0,0.9850746268656716,0.9832635983263598,0.9817351598173516,0.9852941176470589,0.9310344827586207,1.0,0.9779411764705882
104,1382539,t,Glenorchy,House,Entire home/apt,4,1.0,2,3,Real Bed,$129.00 ,0.00%,27.13%,2,moderate,1.0,0.984251968503937,0.9705882352941176,1.0,1.0,0.9230769230769231,1.0,1.0
105,1393975,f,Hobart,House,Private room,2,1.0,1,1,Real Bed,$74.00 ,0.00%,0.00%,4,moderate,1.0,1.0,0.9801980198019802,0.9439252336448598,1.0,1.0,0.92,0.9658119658119658
106,1412234,f,Dorset,Apartment,Entire home/apt,6,2.0,3,6,Real Bed,$200.00 ,0.00%,50.00%,2,moderate,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
107,1417161,f,Huon Valley,Guest suite,Entire home/apt,2,1.0,1,1,Real Bed,$165.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,1428287,t,Huon Valley,Cottage,Entire home/apt,6,1.0,2,4,Real Bed,$140.00 ,0.00%,0.00%,2,moderate,1.0,0.9444444444444444,0.9183673469387755,0.9473684210526315,1.0,0.75,0.9310344827586207,0.9615384615384616
109,1439271,t,Meander Valley,Farm stay,Entire home/apt,5,1.0,2,1,Real Bed,$156.00 ,0.00%,0.00%,2,moderate,1.0,0.9759036144578314,1.0,0.971830985915493,1.0,0.9487179487179487,1.0,0.978494623655914
