listing_id,f0n,f0p,f1n,f1p,f2n,f2p,f3n,f3p,f4n,f4p,f5n,f5p,f6n,f6p,f7n,f7p
21296457,0.0,0.10909090909090909,0.0049586776859504135,0.24462809917355371,0.0,0.2611570247933884,0.0049586776859504135,0.31239669421487604,0.0049586776859504135,0.19173553719008266,0.001652892561983471,0.19669421487603306,0.001652892561983471,0.06115702479338843,0.001652892561983471,0.08760330578512397
21296581,0.0,0.05,0.014285714285714285,0.2642857142857143,0.0,0.20357142857142857,0.017857142857142856,0.38571428571428573,0.010714285714285714,0.18214285714285713,0.007142857142857143,0.2392857142857143,0.0,0.07142857142857142,0.0035714285714285713,0.08571428571428572
21297257,0.0,0.09967845659163987,0.003215434083601286,0.2379421221864952,0.0,0.21543408360128619,0.003215434083601286,0.3858520900321543,0.003215434083601286,0.3408360128617363,0.0,0.1832797427652733,0.0,0.05466237942122187,0.0,0.08038585209003216
21299229,0.0,0.057971014492753624,0.0,0.1956521739130435,0.0,0.10144927536231885,0.0,0.35507246376811596,0.0,0.26811594202898553,0.0,0.2246376811594203,0.0,0.036231884057971016,0.0,0.021739130434782608
21300803,0.0,0.12244897959183673,0.0,0.24489795918367346,0.0,0.22448979591836735,0.0,0.22448979591836735,0.0,0.2653061224489796,0.0,0.10204081632653061,0.0,0.10204081632653061,0.0,0.061224489795918366
21302417,0.0,0.06756756756756757,0.0,0.2747747747747748,0.0,0.3063063063063063,0.0,0.34234234234234234,0.0045045045045045045,0.33783783783783783,0.0,0.16216216216216217,0.0,0.04954954954954955,0.0,0.10810810810810811
21315987,0.0,0.05,0.0,0.14375,0.0,0.09375,0.0,0.4,0.0,0.29375,0.0,0.20625,0.0,0.0625,0.0,0.05
21317274,0.0,0.038461538461538464,0.0,0.34615384615384615,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.2692307692307692,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.038461538461538464
21329972,0.0,0.0,0.0,0.2692307692307692,0.0,0.19230769230769232,0.0,0.23076923076923078,0.0,0.46153846153846156,0.038461538461538464,0.3076923076923077,0.0,0.038461538461538464,0.0,0.038461538461538464
21330572,0.0,0.04516129032258064,0.0,0.27741935483870966,0.0,0.2838709677419355,0.0,0.23225806451612904,0.0064516129032258064,0.23225806451612904,0.0,0.1870967741935484,0.012903225806451613,0.05806451612903226,0.0064516129032258064,0.13548387096774195
21330644,0.0,0.03289473684210526,0.013157894736842105,0.17763157894736842,0.0,0.20065789473684212,0.009868421052631578,0.40789473684210525,0.013157894736842105,0.3848684210526316,0.003289473684210526,0.14144736842105263,0.003289473684210526,0.05592105263157895,0.0,0.04276315789473684
21348590,0.0,0.06976744186046512,0.0,0.23255813953488372,0.0,0.3023255813953488,0.023255813953488372,0.3488372093023256,0.0,0.32558139534883723,0.0,0.16279069767441862,0.0,0.06976744186046512,0.0,0.13953488372093023
21349895,0.0,0.03389830508474576,0.0,0.19491525423728814,0.00847457627118644,0.2627118644067797,0.00847457627118644,0.4406779661016949,0.01694915254237288,0.3135593220338983,0.0,0.06779661016949153,0.0,0.03389830508474576,0.0,0.0423728813559322
21352167,0.0,0.06060606060606061,0.0,0.21818181818181817,0.0,0.16363636363636364,0.006060606060606061,0.4,0.006060606060606061,0.3212121212121212,0.006060606060606061,0.16363636363636364,0.0,0.030303030303030304,0.0,0.048484848484848485
21357281,0.0,0.07518796992481203,0.0,0.3233082706766917,0.0,0.2556390977443609,0.0,0.42105263157894735,0.0,0.39849624060150374,0.0,0.11278195488721804,0.0,0.09774436090225563,0.0,0.05263157894736842
21357925,0.0,0.0,0.0,0.3125,0.0,0.25,0.0,0.25,0.0,0.3125,0.0,0.3125,0.0,0.0625,0.0,0.125
21358003,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.8333333333333334,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
21358645,0.0,0.5,0.0,0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.75
21360379,0.0,0.023529411764705882,0.0,0.15294117647058825,0.0,0.11764705882352941,0.011764705882352941,0.4117647058823529,0.011764705882352941,0.3411764705882353,0.0,0.21176470588235294,0.0,0.03529411764705882,0.0,0.011764705882352941
21362954,0.0,0.027777777777777776,0.0,0.2222222222222222,0.0,0.25,0.0,0.2222222222222222,0.0,0.5833333333333334,0.0,0.3055555555555556,0.0,0.027777777777777776,0.0,0.08333333333333333
21368510,0.0,0.03571428571428571,0.0,0.21428571428571427,0.0,0.10714285714285714,0.0,0.35714285714285715,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.03571428571428571
